METER_READING_UNIQUE_ID,CUSTOMER_NUMBER,FACILITY,OPENING_READING,CLOSING_READING,UTILIZED_READING,DISCOUNT_READING,SOURCED_ENERGY,PRODUCT_DESC,METERED_AVAILABLE,QUANTITY_UNIT,CONTRACT_NUMBER,CONTRACT_LINE,BILL_DATE,CONTRACT_CURRENCY,TAX_RULE,PAYMENT_TERMS,CONTRACT_LINE_UNIQUE_ID
7774243215864836740,MP02,KEN00,622212.93,693036.16,70823.23,0,0,Metered Energy (EMetered) - Site A,metered,KWH,CONKEN00-2024-00012,4000,2025/01/31,USD,OVT,30NET,11175964520850387192
6150777548650836916,JAB01,NIG00,0,46447.89,46447.89,0,0,Grid (EMetered),metered,KWH,CONNIG00-2021-00001,1000,2025/01/31,NGN,OVT,30EOM,7113515554809972086
3943094654983015298,UNSOS,KUBE0,511602,591092,79490,0,0,Powerhouse 17 (EMetered),metered,KWH,CONKUBE0-2024-00001,5000,2025/01/31,USD,EVT,30NET,4197804921179207263
17695664431841851804,MB01,KEN00,75790.12,131044.27,55254.15,0,0,Metered Energy (EMetered) - Site A,metered,KWH,CONKEN00-2023-00009,4000,2025/01/31,USD,OVT,30NET,9458780112386797374
15008918208115223479,GBL01,GHA00,4619624.5,4705719.5,86095,0,0,Grid (EMetered),metered,KWH,CONGHA00-2021-00004,2000,2025/01/31,GHS,OVT,60NET,972168954902511209
14186277746286783122,LOI01,KEN00,271761,275665.5,3904.5,0,0,Loisaba HQ (EMetered),metered,KWH,CONKEN00-2021-00002,1000,2025/01/31,USD,OVT,30EOM,2069257994463054735
16456234361719276655,JAB01,NIG00,0,13001.61,13001.61,0,0,Generator (EMetered),metered,KWH,CONNIG00-2021-00001,2000,2025/01/31,NGN,OVT,30EOM,14453561058337125743
8301157055519691451,UNSOS,KUBE0,1204455,1350137,145682,0,0,Powerhouse 7 (EMetered),metered,KWH,CONKUBE0-2024-00001,4000,2025/01/31,USD,EVT,30NET,4439117753168839568
11029636945124533027,MF01,KEN00,547734.13,587864.38,40130.25,0,0,Metered Energy (EMetered) - Site A,metered,KWH,CONKEN00-2023-00011,4000,2025/01/31,USD,OVT,30NET,14505628705858712600
7530270945186555372,MP02,KEN00,671983.17,747139.9,75156.73,0,0,Metered Energy (EMetered) - Site B,metered,KWH,CONKEN00-2024-00012,5000,2025/01/31,USD,OVT,30NET,9646633319842924172
18096887541781506243,ERG,MAD02,0,336499.28,336499.28,0,0,Metered Energy (EMetered),metered,KWH,CONMAD02-2023-00001,2000,2025/01/31,USD,OVTMD,30NET,4220565821692547845
3335546432463125811,UNSOS,KUBE0,325468,366310,40842,0,0,Logistics  (EMetered),metered,KWH,CONKUBE0-2024-00001,3000,2025/01/31,USD,EVT,30NET,15382242795766447082
10256005515334315554,GBL01,GHA00,0,4791.01,4791.01,0,0,Grid (EAvailable),N/A,KWH,CONGHA00-2021-00004,1000,2025/01/31,GHS,OVT,60NET,15878909455312904518
9453227596428775172,XFL01,KEN00,0,1473.8563,1473.8563,0,0,Available Energy (EAvailable),available,KWH,CONKEN00-2021-00005,2000,2025/01/31,USD,OVT,30NET,832521082097729922
4612873386632139896,JAB01,NIG00,0,5242.87,5242.87,0,0,Grid (EAvailable),available,KWH,CONNIG00-2021-00001,3000,2025/01/31,NGN,OVT,30EOM,4801201556168808578
11517070410619844145,JAB01,NIG00,0,1467.58,1467.58,0,0,Generator (EAvailable),available,KWH,CONNIG00-2021-00001,4000,2025/01/31,NGN,OVT,30EOM,4207416215798479557
13437980455465087236,UNSOS,KUBE0,306940,372697,65757,0,0,Powerhouse 20 (EMetered),metered,KWH,CONKUBE0-2024-00001,6000,2025/01/31,USD,EVT,30NET,5173318559305050649
15099238077261728055,IVL01,EGY00,1418305.41,1426743.81,8438.4,0,0,Metered Energy (EMetered),N/A,KWH,CONEGY00-2023-00001,1000,2025/01/31,USD,EVT,30NET,6338108848127562040
9997204856296035681,KAS01,GHA00,2735897,2762251,26354,0,0,Metered Energy (EMetered) - Phase 1,metered,KWH,CONGHA00-2021-00002,1000,2025/01/31,GHS,OVT,30EOM,6183974810309858390
12414107646030427219,TBM01,KEN00,2759304.45,2930640.13,171335.68,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2023-00007,1000,2025/01/31,KES,OVT,30NET,17896284732423052980
1530125809868713239,KAS01,GHA00,0,0,0,0,0,Available Energy (EAvailable) Combined,available,KWH,CONGHA00-2021-00002,2000,2025/01/31,GHS,OVT,30EOM,13961123603684840005
12495631494655662721,TBM01,KEN00,0,60295.3149,60295.3149,0,0,Available Energy (EAvailable),available,KWH,CONKEN00-2023-00007,2000,2025/01/31,KES,OVT,30NET,2964225664267180928
1814815961803174715,QMM01,MAD00,0,152037.6985,152037.6985,0,0,Available Energy (EAvailable) Phase 1,available,KWH,CONMAD00-2023-00001,2000,2025/01/31,USD,EVT,75EOM,16845594420873912303
5799472153309257218,GC001,CBCH0,4608774,4669193,60419,0,0,Metered Energy (EMetered) - Substation 1,metered,KWH,CONCBCH0-2021-00001,1000,2025/01/31,USD,OVT,30EOM,15814959350884852359
11653753747491322027,XFBV,KEN00,0,380.3431,380.3431,0,0,Available Energy (EAvailable),available,KWH,CONKEN00-2021-00004,2000,2025/01/31,USD,OVT,30NET,14106280337094806104
6765776976078496565,KAS01,GHA00,0,67929.8103,67929.8103,0,0,Inverter Energy - Phase 2,N/A,KWH,CONGHA00-2021-00002,3000,2025/01/31,GHS,OVT,30EOM,1681525089438628717
15025272102842158872,XFAB,KEN00,0,18386.8825,18386.8825,1086.33,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00003,1000,2025/01/31,USD,OVT,30EOM,1524958111127857530
15531676873097950251,UTK01,KEN00,5139410.66,5218865.59,79454.93,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00001,1000,2025/01/31,KES,OVT,90EOM,3090623423213026667
9088369743393643673,LOI01,KEN00,409359.53,414357.5,4997.97,0,0,Loisaba Camp (EMetered),metered,KWH,CONKEN00-2021-00002,2000,2025/01/31,USD,OVT,30EOM,11449263803432932680
2915917894715656230,XFL01,KEN00,0,19007.6647,19007.6647,1024.076,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00005,1000,2025/01/31,USD,OVT,30NET,7275858852531069270
9404809540309836685,QMM01,MAD00,17452290.05,18501824.51,1049534.46,0,0,Metered Energy (EMetered) Phase 1,metered,KWH,CONMAD00-2023-00001,1000,2025/01/31,USD,EVT,75EOM,17216454264846969574
9628224356243985623,NBL02,NIG00,9389126.66,9802747.9,413621.24,0,4595.85,Generator (EMetered),metered,KWH,CONNIG00-2023-00003,1000,2025/01/31,NGN,OVT,60NET,4199679004836769487
12842841595666015355,XFSS,KEN00,0,11503.2667,11503.2667,593.5117,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00006,1000,2025/01/31,USD,OVT,30EOM,9319749582577287286
18077021896662737609,UGL01,GHA00,0,58355.19,58355.19,0,0,Inverter Energy,N/A,KWH,CONGHA00-2021-00001,3000,2025/01/31,GHS,OVT,90NET,2196412090960533350
14505909230505768004,MP01,KEN00,408682.05,451086.62,42404.57,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2024-00014,3000,2025/01/31,USD,OVT,30NET,3057432155960052459
13784085978236620234,XFAB,KEN00,0,3339.7949,3339.7949,0,0,Available Energy (EAvailable),available,KWH,CONKEN00-2021-00003,2000,2025/01/31,USD,OVT,30EOM,5816493969968117071
1372051802994302789,NC03,KEN00,2583786.5,2951903.74,368117.24,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2024-00013,3000,2025/01/31,USD,OVT,30NET,17291507067643283465
6976781288986076958,XFBV,KEN00,0,6191.1583,6191.1583,328.58,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00004,1000,2025/01/31,USD,OVT,30NET,2389964496373503962
7625707342324410962,XFBV,KEN00,0,438.0635,438.0635,387.7243,0,Available Energy (EAvailable),available,KWH,CONKEN00-2021-00004,2000,2025/02/28,USD,OVT,30NET,14106280337094806104
13220260937506521547,LOI01,KEN00,275665.5,279618.5,3953,0,0,Loisaba HQ (EMetered),metered,KWH,CONKEN00-2021-00002,1000,2025/02/28,USD,OVT,30EOM,2069257994463054735
1617651803431640167,MP02,KEN00,747139.9,829575.23,82435.33,0,0,Metered Energy (EMetered) - Site B,metered,KWH,CONKEN00-2024-00012,5000,2025/02/28,USD,OVT,30NET,9646633319842924172
729601269125398173,UGL01,GHA00,0,79788,79788,0,0,Inverter Energy,N/A,KWH,CONGHA00-2021-00001,3000,2025/02/28,GHS,OVT,90NET,2196412090960533350
10384684661641557937,NBL02,NIG00,9802747.9,10224272.38,421524.48,0,3767.83,Generator (EMetered),metered,KWH,CONNIG00-2023-00003,1000,2025/02/28,NGN,OVT,60NET,4199679004836769487
6933887647992642171,NC02,KEN00,577063.19,610924.5,33861.31,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2023-00010,2000,2025/02/28,USD,OVT,30NET,7911848012608655937
18172505385601619836,ERG,MAD02,0,272604.71,272604.71,0,0,Metered Energy (EMetered),metered,KWH,CONMAD02-2023-00001,2000,2025/02/28,USD,OVTMD,30NET,4220565821692547845
16462195077196828367,IVL01,EGY00,1426743.81,1447093,20349.19,0,0,Metered Energy (EMetered),N/A,KWH,CONEGY00-2023-00001,1000,2025/02/28,USD,EVT,30NET,6338108848127562040
17868611387811340658,MIR01,SLL02,484281.568,509121.056,24839.488,0,0,Metered Energy (EMetered),metered,KWH,CONSLL02-2023-00002,1000,2025/02/28,USD,OVT,30NET,11076971414254082480
596897036899193925,GC001,CBCH0,4669193,4719663,50470,0,0,Metered Energy (EMetered) - Substation 1,metered,KWH,CONCBCH0-2021-00001,1000,2025/02/28,USD,OVT,30EOM,15814959350884852359
1109795685225854439,NBL02,NIG00,0,0,0,0,0,Generator (EAvailable),available,KWH,CONNIG00-2023-00003,2000,2025/02/28,NGN,OVT,60NET,16726735991786445971
5276251203776385993,MP02,KEN00,693036.16,770242.69,77206.53,0,0,Metered Energy (EMetered) - Site A,metered,KWH,CONKEN00-2024-00012,4000,2025/02/28,USD,OVT,30NET,11175964520850387192
9553405900544065296,KAS01,GHA00,0,6675.98,6675.98,0,0,Available Energy (EAvailable) Combined,available,KWH,CONGHA00-2021-00002,2000,2025/02/28,GHS,OVT,30EOM,13961123603684840005
18258341241870950988,KAS01,GHA00,2762251,2798073,35822,0,0,Metered Energy (EMetered) - Phase 1,metered,KWH,CONGHA00-2021-00002,1000,2025/02/28,GHS,OVT,30EOM,6183974810309858390
4279483148473841289,XFBV,KEN00,0,7316.4233,7316.4233,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00004,1000,2025/02/28,USD,OVT,30NET,2389964496373503962
14559153407594795759,LOI01,KEN00,414357.5,418677.56,4320.06,0,0,Loisaba Camp (EMetered),metered,KWH,CONKEN00-2021-00002,2000,2025/02/28,USD,OVT,30EOM,11449263803432932680
13613620779503457145,UTK01,KEN00,5218865.59,5304906.43,86040.84,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00001,1000,2025/02/28,KES,OVT,90EOM,3090623423213026667
15196693098975358665,UTK01,KEN00,0,9942.34,9942.34,0,0,Available Energy (EAvailable),N/A,KWH,CONKEN00-2021-00001,2000,2025/02/28,KES,OVT,90EOM,7762725140274285350
3539457988498100262,QMM01,MAD00,0,418362.9519,418362.9519,0,0,Available Energy (EAvailable) Expanded PV,available,KWH,CONMAD00-2023-00001,6000,2025/02/28,USD,EVT,75EOM,10690896002611728053
12762415456401228995,XFL01,KEN00,0,1169.8224,1169.8224,1041.4128,0,Available Energy (EAvailable),available,KWH,CONKEN00-2021-00005,2000,2025/02/28,USD,OVT,30NET,832521082097729922
9586296712882310656,MF01,KEN00,587864.38,626056.94,38192.56,0,0,Metered Energy (EMetered) - Site A,metered,KWH,CONKEN00-2023-00011,4000,2025/02/28,USD,OVT,30NET,14505628705858712600
10625425293390332073,TBM01,KEN00,0,20802.8499,20802.8499,0,0,Available Energy (EAvailable),available,KWH,CONKEN00-2023-00007,2000,2025/02/28,KES,OVT,30NET,2964225664267180928
843339696306036160,JAB01,NIG00,0,761.18,761.18,0,0,Grid (EAvailable),available,KWH,CONNIG00-2021-00001,3000,2025/02/28,NGN,OVT,30EOM,4801201556168808578
17441935355271513562,XFL01,KEN00,0,19658.4333,19658.4333,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00005,1000,2025/02/28,USD,OVT,30NET,7275858852531069270
7227038915085118617,UNSOS,KUBE0,366310,403313,37003,0,0,Logistics  (EMetered),metered,KWH,CONKUBE0-2024-00001,3000,2025/02/28,USD,EVT,30NET,15382242795766447082
2133529442649416491,JAB01,NIG00,0,14144.98,14144.98,0,0,Generator (EMetered),metered,KWH,CONNIG00-2021-00001,2000,2025/02/28,NGN,OVT,30EOM,14453561058337125743
13523116496778923005,JAB01,NIG00,0,47141.77,47141.77,0,0,Grid (EMetered),metered,KWH,CONNIG00-2021-00001,1000,2025/02/28,NGN,OVT,30EOM,7113515554809972086
2816918279957854727,UNSOS,KUBE0,591092,669797,78705,0,0,Powerhouse 17 (EMetered),metered,KWH,CONKUBE0-2024-00001,5000,2025/02/28,USD,EVT,30NET,4197804921179207263
409584081230313346,NBL01,NIG00,99573.79,129862.38,30288.59,0,0,Generator (EMetered) Phase 1,metered,KWH,CONNIG00-2021-00002,6000,2025/02/28,NGN,OVT,60NET,9916550313842372826
15999498590478375569,TBM01,KEN00,2930640.13,3139432.7,208792.57,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2023-00007,1000,2025/02/28,KES,OVT,30NET,17896284732423052980
14253017761687015212,JAB01,NIG00,0,228.39,228.39,0,0,Generator (EAvailable),available,KWH,CONNIG00-2021-00001,4000,2025/02/28,NGN,OVT,30EOM,4207416215798479557
12215395265344236300,XFAB,KEN00,0,18215.3767,18215.3767,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00003,1000,2025/02/28,USD,OVT,30EOM,1524958111127857530
16924702491226822486,GC001,CBCH0,5393732,5453570,59838,0,0,Metered Energy (EMetered) - Substation 3,metered,KWH,CONCBCH0-2021-00001,2000,2025/02/28,USD,OVT,30EOM,9426285416093580559
18347387114693039288,GBL01,GHA00,0,18913.52,18913.52,0,0,Grid (EAvailable),N/A,KWH,CONGHA00-2021-00004,1000,2025/02/28,GHS,OVT,60NET,15878909455312904518
10008319500077627863,NC03,KEN00,2951903.74,3339077.89,387174.15,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2024-00013,3000,2025/02/28,USD,OVT,30NET,17291507067643283465
8588943562813917569,UNSOS,KUBE0,1350137,1496195,146058,0,0,Powerhouse 7 (EMetered),metered,KWH,CONKUBE0-2024-00001,4000,2025/02/28,USD,EVT,30NET,4439117753168839568
5567950380068349647,NBL01,NIG00,636993.98,824675.71,187681.73,0,5818.67,Generator (EMetered) Phase 2,metered,KWH,CONNIG00-2021-00002,10000,2025/02/28,NGN,OVT,60NET,6747506823328654925
8352110069690376049,QMM01,MAD00,18501824.51,19496398.85,994574.34,0,0,Metered Energy (EMetered) Expanded PV,metered,KWH,CONMAD00-2023-00001,5000,2025/02/28,USD,EVT,75EOM,18360503658197503916
4518848935188511357,MB01,KEN00,138341.11,184295.73,45954.62,0,0,Metered Energy (EMetered) - Site B,metered,KWH,CONKEN00-2023-00009,5000,2025/02/28,USD,OVT,30NET,7109986209338688057
2240250661642615143,XFSS,KEN00,0,12689.2429,12689.2429,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00006,1000,2025/02/28,USD,OVT,30EOM,9319749582577287286
4052834461890800937,KAS01,GHA00,114650.5,190948,76297.5,0,0,Metered Energy (EMetered) - Phase 2,metered,KWH,CONGHA00-2021-00002,4000,2025/02/28,GHS,OVT,30EOM,12212917838699498756
3707666863581380578,UNSOS,KUBE0,372697,437335,64638,0,0,Powerhouse 20 (EMetered),metered,KWH,CONKUBE0-2024-00001,6000,2025/02/28,USD,EVT,30NET,5173318559305050649
15590690319459720000,MF01,KEN00,182238.52,195840.16,13601.64,0,0,Metered Energy (EMetered) - Site B,metered,KWH,CONKEN00-2023-00011,5000,2025/02/28,USD,OVT,30NET,2857029573473698230
492771042725884437,MB01,KEN00,131044.27,201210.55,70166.28,0,0,Metered Energy (EMetered) - Site A,metered,KWH,CONKEN00-2023-00009,4000,2025/02/28,USD,OVT,30NET,9458780112386797374
5711952017492564050,MP01,KEN00,451086.62,500108.77,49022.15,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2024-00014,3000,2025/02/28,USD,OVT,30NET,3057432155960052459
14697699717868598717,XFAB,KEN00,0,3600.4179,3600.4179,1090.7897,0,Available Energy (EAvailable),available,KWH,CONKEN00-2021-00003,2000,2025/02/28,USD,OVT,30EOM,5816493969968117071
18216116340971147482,XFSS,KEN00,0,339.0288,339.0288,339.0288,0,Available Energy (EAvailable),available,KWH,CONKEN00-2021-00006,2000,2025/02/28,USD,OVT,30EOM,15162335653751715805
4857025799387623161,GBL01,GHA00,4705719.5,4788190.5,82471,0,0,Grid (EMetered),metered,KWH,CONGHA00-2021-00004,2000,2025/02/28,GHS,OVT,60NET,972168954902511209
13976076586586246589,JAB01,NIG00,0,3147.47,3147.47,0,0,Grid (EAvailable),available,KWH,CONNIG00-2021-00001,3000,2025/03/31,NGN,OVT,30EOM,4801201556168808578
7558806952671421645,XFSS,KEN00,0,466.9574,466.9574,466.9574,0,Available Energy (EAvailable),available,KWH,CONKEN00-2021-00006,2000,2025/03/31,USD,OVT,30EOM,15162335653751715805
5167692714881049659,MP01,KEN00,500108.77,544862.98,44754.21,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2024-00014,3000,2025/03/31,USD,OVT,30NET,3057432155960052459
16345217188356252400,XFAB,KEN00,0,2825.04,2825.04,976.46,0,Available Energy (EAvailable),available,KWH,CONKEN00-2021-00003,2000,2025/03/31,USD,OVT,30EOM,5816493969968117071
4745411072117177434,TBM01,KEN00,0,33309.19,33309.19,0,0,Available Energy (EAvailable),available,KWH,CONKEN00-2023-00007,2000,2025/03/31,KES,OVT,30NET,2964225664267180928
10417027823680508570,JAB01,NIG00,0,8916.92,8916.92,0,0,Generator (EMetered),metered,KWH,CONNIG00-2021-00001,2000,2025/03/31,NGN,OVT,30EOM,14453561058337125743
16419315435077827692,MP02,KEN00,829575.23,904615.3,75040.07,0,0,Metered Energy (EMetered) - Site B,metered,KWH,CONKEN00-2024-00012,5000,2025/03/31,USD,OVT,30NET,9646633319842924172
2653900211724257798,QMM01,MAD00,0,645895.65,645895.65,0,0,Available Energy (EAvailable) Expanded PV,available,KWH,CONMAD00-2023-00001,6000,2025/03/31,USD,EVT,75EOM,10690896002611728053
3444062266570621341,KAS01,GHA00,2798073,2845597,47524,0,0,Metered Energy (EMetered) - Phase 1,metered,KWH,CONGHA00-2021-00002,1000,2025/03/31,GHS,OVT,30EOM,6183974810309858390
13496781036260913820,UGL01,GHA00,0,12166.44,12166.44,0,0,Available Energy (EAvailable),N/A,KWH,CONGHA00-2021-00001,2000,2025/03/31,GHS,OVT,90NET,17724832954463291675
8335464676122388289,UTK01,KEN00,5304906.43,5379446.25,74539.82,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00001,1000,2025/03/31,KES,OVT,90EOM,3090623423213026667
4908735935037064061,MF01,KEN00,195840.16,208629.09,12788.93,0,0,Metered Energy (EMetered) - Site B,metered,KWH,CONKEN00-2023-00011,5000,2025/03/31,USD,OVT,30NET,2857029573473698230
10490720944289321891,UNSOS,KUBE0,1496195,1663660,167465,0,0,Powerhouse 7 (EMetered),metered,KWH,CONKUBE0-2024-00001,4000,2025/03/31,USD,EVT,30NET,4439117753168839568
13160763862015000255,LOI01,KEN00,418677.56,422676.719,3999.159,0,0,Loisaba Camp (EMetered),metered,KWH,CONKEN00-2021-00002,2000,2025/03/31,USD,OVT,30EOM,11449263803432932680
18235003632098122499,KAS01,GHA00,0,5511.95,5511.95,0,0,Available Energy (EAvailable) Combined,available,KWH,CONGHA00-2021-00002,2000,2025/03/31,GHS,OVT,30EOM,13961123603684840005
11447388907331251731,UNSOS,KUBE0,403313,442600,39287,0,0,Logistics  (EMetered),metered,KWH,CONKUBE0-2024-00001,3000,2025/03/31,USD,EVT,30NET,15382242795766447082
6290116318964854857,UNSOS,KUBE0,669797,760369,90572,0,0,Powerhouse 17 (EMetered),metered,KWH,CONKUBE0-2024-00001,5000,2025/03/31,USD,EVT,30NET,4197804921179207263
12536499683001355572,XFL01,KEN00,0,389.45,389.45,389.45,0,Available Energy (EAvailable),available,KWH,CONKEN00-2021-00005,2000,2025/03/31,USD,OVT,30NET,832521082097729922
2614531399507329235,KAS01,GHA00,190948,296341.4,105393.4,0,0,Metered Energy (EMetered) - Phase 2,metered,KWH,CONGHA00-2021-00002,4000,2025/03/31,GHS,OVT,30EOM,12212917838699498756
6772723607346978919,MP01,KEN00,0,16213.845,16213.845,0,0,Minimum Offtake,,KWH,CONKEN00-2024-00014,1000,2025/03/31,USD,OVT,30NET,7338308595426001980
10789176455191125466,GBL01,GHA00,4788190.5,4912370.5,124180,0,0,Grid (EMetered),metered,KWH,CONGHA00-2021-00004,2000,2025/03/31,GHS,OVT,60NET,972168954902511209
11461846954743279415,LOI01,KEN00,279618.5,283469.5,3851,0,0,Loisaba HQ (EMetered),metered,KWH,CONKEN00-2021-00002,1000,2025/03/31,USD,OVT,30EOM,2069257994463054735
12833412039754806302,NC03,KEN00,756312.38,1095902.34,339589.96,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2024-00013,3000,2025/03/31,USD,OVT,30NET,17291507067643283465
11007111472269350847,IVL01,EGY00,1447093,1458329.66,11236.66,0,0,Metered Energy (EMetered),N/A,KWH,CONEGY00-2023-00001,1000,2025/03/31,USD,EVT,30NET,6338108848127562040
10324707057621562385,JAB01,NIG00,0,58840.83,58840.83,0,0,Grid (EMetered),metered,KWH,CONNIG00-2021-00001,1000,2025/03/31,NGN,OVT,30EOM,7113515554809972086
10241836073803841929,NC03,KEN00,0,16923.0612,16923.0612,0,0,Minimum Offtake,N/A,KWH,CONKEN00-2024-00013,1000,2025/03/31,USD,OVT,30NET,8902766228692712077
15202388845379416802,XFSS,KEN00,575068.05,586399.88,11331.83,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00006,1000,2025/03/31,USD,OVT,30EOM,9319749582577287286
7485684127631988161,MIR01,SLL02,509121.056,538875.712,29754.656,0,0,Metered Energy (EMetered),metered,KWH,CONSLL02-2023-00002,1000,2025/03/31,USD,OVT,30NET,11076971414254082480
4979908796889629063,TBM01,KEN00,3139432.7,3317595.39,178162.69,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2023-00007,1000,2025/03/31,KES,OVT,30NET,17896284732423052980
4045882812866716537,NBL01,NIG00,0,15059.57,15059.57,0,0,Generator (EAvailable) Phase 1,available,KWH,CONNIG00-2021-00002,7000,2025/03/31,NGN,OVT,60NET,16984048667943844105
14653129310391478163,XFBV,KEN00,322781.6,329612.26,6830.66,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00004,1000,2025/03/31,USD,OVT,30NET,2389964496373503962
7555875360116862910,NBL01,NIG00,824675.71,1025708.86,201033.15,0,2241.35,Generator (EMetered) Phase 2,metered,KWH,CONNIG00-2021-00002,10000,2025/03/31,NGN,OVT,60NET,6747506823328654925
9773413826995960902,QMM01,MAD00,0,144866.49,144866.49,0,0,Early Operating or Test Energy,metered,KWH,CONMAD00-2023-00001,4000,2025/03/31,USD,EVT,75EOM,9408779315254157693
3463353849183628943,ERG,MAD02,0,326919.67,326919.67,0,0,Metered Energy (EMetered),metered,KWH,CONMAD02-2023-00001,2000,2025/03/31,USD,OVTMD,30NET,4220565821692547845
4016441866814914991,XFL01,KEN00,856811,875213,18402,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00005,1000,2025/03/31,USD,OVT,30NET,7275858852531069270
10110837661486087736,QMM01,MAD00,19496398.85,20549258.05,1052859.2,0,0,Metered Energy (EMetered) Expanded PV,metered,KWH,CONMAD00-2023-00001,5000,2025/03/31,USD,EVT,75EOM,18360503658197503916
1200291015312677448,XFAB,KEN00,746097.53,762801.69,16704.16,0,0,Metered Energy (EMetered),metered,KWH,CONKEN00-2021-00003,1000,2025/03/31,USD,OVT,30EOM,1524958111127857530
16878763228420261183,MB01,KEN00,184295.73,226212.52,41916.79,0,0,Metered Energy (EMetered) - Site B,metered,KWH,CONKEN00-2023-00009,5000,2025/03/31,USD,OVT,30NET,7109986209338688057
16734539139996887462,XFBV,KEN00,0,283.0213,283.0213,283.0213,0,Available Energy (EAvailable),available,KWH,CONKEN00-2021-00004,2000,2025/03/31,USD,OVT,30NET,14106280337094806104
5205442467267444,NBL02,NIG00,10224272.38,10707912.7,483640.32,3612.4,0,Generator (EMetered),metered,KWH,CONNIG00-2023-00003,1000,2025/03/31,NGN,OVT,60NET,4199679004836769487
13114454407785242578,GC001,CBCH0,4719663,4763188,43525,0,0,Metered Energy (EMetered) - Substation 1,metered,KWH,CONCBCH0-2021-00001,1000,2025/03/31,USD,OVT,30EOM,15814959350884852359
